source,target,we
37,0,1
9,1,1
14,2,1
32,2,1
32,2,1
32,2,1
17,3,1
30,3,1
16,4,1
16,5,1
0,6,1
11,7,1
24,7,1
4,8,1
18,8,1
24,8,1
27,8,1
29,8,1
29,8,1
44,8,1
30,9,1
40,10,1
37,11,1
37,11,1
37,11,1
17,12,1
42,12,1
17,13,1
36,13,1
36,13,1
17,14,1
25,14,1
25,14,1
41,15,1
41,15,1
27,16,1
4,17,1
21,17,1
21,17,1
41,17,1
41,17,1
43,17,1
43,17,1
22,18,1
41,18,1
41,18,1
44,18,1
5,19,1
43,19,1
15,20,1
17,20,1
23,21,1
23,21,1
35,21,1
42,22,1
37,23,1
20,24,1
46,24,1
46,24,1
5,25,1
8,25,1
8,25,1
12,25,1
5,26,1
5,26,1
5,27,1
5,27,1
8,28,1
8,28,1
32,29,1
32,29,1
4,30,1
18,31,1
18,31,1
28,32,1
36,32,1
1,33,1
39,33,1
9,34,1
23,34,1
31,34,1
36,34,1
48,34,1
31,35,1
31,35,1
36,35,1
30,36,1
10,37,1
9,38,1
46,38,1
46,38,1
15,39,1
46,39,1
47,40,1
5,41,1
17,42,1
17,42,1
43,43,1
43,43,1
11,44,1
11,44,1
19,44,1
19,44,1
19,44,1
11,45,1
11,45,1
44,45,1
49,45,1
15,46,1
30,47,1
46,48,1
46,48,1
18,49,1
13,50,1
30,50,1
23,51,1
10,52,1
2,53,1
9,54,1
9,54,1
46,54,1
46,54,1
46,54,1
19,55,1
11,56,1
2,57,1
2,57,1
17,58,1
20,59,1
31,59,1
48,59,1
31,60,1
20,61,1
4,62,1
18,63,1
19,63,1
18,64,1
24,64,1
43,65,1
8,66,1
8,66,1
27,67,1
35,67,1
32,68,1
32,68,1
32,68,1
13,69,1
24,70,1
10,71,1
10,71,1
13,71,1
21,72,1
38,72,1
6,73,1
4,74,1
44,75,1
0,76,1
19,77,1
11,78,1
25,78,1
45,79,1
34,80,1
6,81,1
6,81,1
22,81,1
41,81,1
41,81,1
16,82,1
23,83,1
27,83,1
40,84,1
8,85,1
10,85,1
13,85,1
20,85,1
27,85,1
45,85,1
28,86,1
25,87,1
28,87,1
48,88,1
27,89,1
27,89,1
35,89,1
35,89,1
47,90,1
31,91,1
46,92,1
32,93,1
48,93,1
10,94,1
38,94,1
38,94,1
38,94,1
48,94,1
43,95,1
14,96,1
34,97,1
34,97,1
38,98,1
38,98,1
38,98,1
0,99,1
11,99,1
47,99,1
49,100,1
0,101,1
49,101,1
11,102,1
47,102,1
24,103,1
27,103,1
9,104,1
1,105,1
2,105,1
4,106,1
17,107,1
25,107,1
25,108,1
9,109,1
20,109,1
39,109,1
28,110,1
1,111,1
1,111,1
1,111,1
15,111,1
46,111,1
16,112,1
4,113,1
4,113,1
4,113,1
1,114,1
15,114,1
13,115,1
13,115,1
13,115,1
42,115,1
42,115,1
47,115,1
47,115,1
12,116,1
12,116,1
44,117,1
24,118,1
43,118,1
41,119,1
41,119,1
1,120,1
12,120,1
12,121,1
14,121,1
48,121,1
2,122,1
2,122,1
2,122,1
9,122,1
9,122,1
9,122,1
27,122,1
32,122,1
32,122,1
34,122,1
34,122,1
34,122,1
34,122,2
35,122,1
35,122,1
35,122,1
46,122,1
36,123,1
36,123,1
24,124,1
2,125,1
6,125,1
6,125,1
12,125,1
12,125,1
32,125,1
39,125,1
39,125,1
40,125,1
49,125,1
49,125,1
49,125,1
4,126,1
11,127,1
18,128,1
19,128,1
18,129,1
0,130,1
45,130,1
15,131,1
40,131,1
15,132,1
24,133,1
8,134,1
24,134,1
42,134,1
25,135,1
25,135,1
30,136,1
40,137,1
10,138,1
19,139,1
22,140,1
31,140,1
36,140,1
1,141,1
5,141,1
12,141,1
34,141,1
34,142,1
34,142,1
9,143,1
9,143,1
9,143,1
28,144,1
44,145,1
36,146,1
2,147,1
9,148,1
35,148,1
30,149,1
30,150,1
36,151,1
36,152,1
4,153,1
15,153,1
39,153,1
4,154,1
14,154,1
18,155,1
33,155,1
33,155,1
33,155,1
23,156,1
21,157,1
21,157,1
21,157,1
48,158,1
25,159,1
25,159,1
25,160,1
35,160,1
44,161,1
10,162,1
30,162,1
30,163,1
4,164,1
5,165,1
28,165,1
28,165,1
4,166,1
5,166,1
32,166,1
32,166,1
32,166,1
32,166,1
36,166,1
39,166,1
41,166,1
41,166,1
42,166,1
49,166,1
49,166,1
49,166,1
49,166,1
12,167,1
35,167,1
4,168,1
43,168,1
20,169,1
32,170,1
18,171,1
49,172,1
49,172,1
36,173,1
36,173,1
36,174,1
17,175,1
17,175,1
44,175,1
44,175,1
35,176,1
24,177,1
25,177,1
9,178,1
46,178,1
8,179,1
46,179,1
9,180,1
27,181,1
5,182,1
5,182,1
5,182,1
5,182,1
5,182,1
5,182,1
5,182,1
5,182,1
8,182,1
8,182,1
8,182,1
8,182,1
8,182,1
8,182,1
14,182,1
16,182,1
16,182,1
16,182,1
24,182,1
24,182,1
24,182,1
24,182,1
24,182,1
27,182,1
27,182,1
31,182,1
41,182,1
41,182,1
43,182,1
49,182,1
49,182,1
49,182,1
49,182,1
49,182,1
5,183,1
8,183,1
31,183,1
36,183,1
11,184,1
20,184,1
2,185,1
9,186,1
14,187,1
5,188,1
9,189,1
15,190,1
15,190,1
23,190,1
23,190,1
43,190,1
43,190,1
21,191,1
37,191,1
37,191,1
37,191,1
45,191,1
10,192,1
19,192,1
19,192,1
45,192,1
19,193,1
19,193,1
12,194,1
28,195,1
32,196,1
34,196,1
36,197,1
44,198,1
47,198,1
11,199,1
13,200,1
47,200,1
22,201,1
34,201,1
20,202,1
20,202,1
20,202,1
31,202,1
30,203,1
32,204,1
4,205,1
14,205,1
24,205,1
24,205,1
25,205,1
34,205,1
48,205,1
31,206,1
8,207,1
47,208,1
8,209,1
0,210,1
31,211,1
39,211,1
31,212,1
10,213,1
24,213,1
24,213,1
39,213,1
49,214,1
0,215,1
39,216,1
17,217,1
17,218,1
2,219,1
9,220,1
39,220,1
15,221,1
15,221,1
17,222,1
17,222,1
8,223,1
44,224,1
18,225,1
44,226,1
17,227,1
34,228,1
34,228,1
14,229,1
14,229,1
14,230,1
14,230,1
23,230,1
23,230,1
1,231,1
10,231,1
31,232,1
28,233,1
35,234,1
20,235,1
20,235,1
20,235,1
20,235,1
45,235,1
12,236,1
12,236,1
12,236,1
13,236,1
13,236,1
42,236,1
42,236,1
47,236,1
47,236,1
13,237,1
24,237,1
33,238,1
33,238,1
33,238,1
4,239,1
31,240,1
0,241,1
22,242,1
43,243,1
35,244,1
6,245,1
16,246,1
29,247,1
29,247,1
29,247,1
44,247,1
29,248,1
29,248,1
29,248,1
5,249,1
27,249,1
40,249,1
24,250,1
6,251,1
6,251,1
48,252,1
48,252,1
0,253,1
11,254,1
19,254,1
16,255,1
45,255,1
48,255,1
20,256,1
8,257,1
9,257,1
15,257,1
15,257,1
20,257,1
22,257,1
23,257,1
32,257,1
32,257,1
32,257,1
27,258,1
39,258,1
27,259,1
45,260,1
11,261,1
48,261,1
42,262,1
49,263,1
33,264,1
33,264,1
33,264,1
42,265,1
15,266,1
15,266,1
12,267,1
12,268,1
18,268,1
29,268,1
29,268,1
29,268,1
38,268,1
47,269,1
10,270,1
25,271,1
38,271,1
38,271,1
38,271,1
29,272,1
39,272,1
49,272,1
49,272,1
29,273,1
39,273,1
39,273,1
31,274,1
45,275,1
45,275,1
18,276,1
35,277,1
45,278,1
24,279,1
47,280,1
20,281,1
15,282,1
13,283,1
42,283,1
20,284,1
23,285,1
17,286,1
30,286,1
0,287,1
49,288,1
49,288,1
31,289,1
2,290,1
12,290,1
28,290,1
2,291,1
17,291,1
25,291,1
15,292,1
18,292,1
42,292,1
25,293,1
24,294,1
12,295,1
45,295,1
32,296,1
34,296,1
44,297,1
11,298,1
4,299,1
31,299,1
0,300,1
47,300,1
0,301,1
0,302,1
44,303,1
2,304,1
29,304,1
29,304,1
29,304,1
33,304,1
33,304,1
33,304,1
46,304,1
46,304,1
19,305,1
42,305,1
10,306,1
25,306,1
38,306,1
38,306,1
13,307,1
33,308,1
33,308,1
38,308,1
5,309,1
11,309,1
16,309,1
16,309,1
21,309,1
21,309,1
25,309,1
27,309,1
29,309,1
29,309,1
29,309,1
35,309,1
37,309,1
37,309,1
40,309,1
40,309,1
40,309,1
40,309,1
43,309,1
49,309,1
49,309,1
49,309,1
11,310,1
12,310,1
12,310,1
14,310,1
24,310,1
2,311,1
2,311,1
22,311,1
23,311,1
23,311,1
27,311,1
27,311,1
32,311,1
32,311,1
34,311,1
34,311,1
35,311,1
35,311,1
35,311,1
32,312,1
30,313,1
39,313,1
46,313,1
4,314,1
4,314,1
13,315,1
19,315,1
19,315,1
19,316,1
25,317,1
39,318,1
35,319,1
17,320,1
45,321,1
46,321,1
33,322,1
33,322,1
33,322,1
8,323,1
8,323,1
35,324,1
46,324,1
28,325,1
39,326,1
23,327,1
27,327,1
38,328,1
38,328,1
38,328,1
11,329,1
0,330,1
25,330,1
29,331,1
29,332,1
29,332,1
29,332,1
17,333,1
21,333,1
21,333,1
22,333,1
37,333,1
37,333,1
47,333,1
27,334,1
47,335,1
47,335,1
4,336,1
10,336,1
18,336,1
48,336,1
12,337,1
18,337,1
11,338,1
14,338,1
19,339,1
42,339,1
19,340,1
27,341,1
48,341,1
19,342,1
38,343,1
38,343,1
38,343,1
30,344,1
10,345,1
11,346,1
9,347,1
8,348,1
17,349,1
20,349,1
25,349,1
28,349,1
15,350,1
35,350,1
24,351,1
42,352,1
49,353,1
49,353,1
1,354,1
16,354,1
18,354,1
47,354,1
8,355,1
20,355,1
16,356,1
41,357,1
44,357,1
24,358,1
45,358,1
23,359,1
35,359,1
9,360,1
20,360,1
34,360,1
34,360,1
34,360,1
34,360,1
36,360,1
40,361,1
28,362,1
28,362,1
5,363,1
12,364,1
39,364,1
14,365,1
25,365,1
5,366,1
43,367,1
43,367,1
31,368,1
31,369,1
34,370,1
37,370,1
2,371,1
9,371,1
37,372,1
37,372,1
37,372,1
38,372,1
38,372,1
38,372,1
15,373,1
20,373,1
17,374,1
28,374,1
17,375,1
36,376,1
36,376,1
21,377,1
21,377,1
21,377,1
37,377,1
6,378,1
12,379,1
42,380,1
33,381,1
33,381,1
33,381,1
46,381,1
6,382,1
49,382,1
49,382,1
5,383,1
29,384,1
29,384,1
29,384,1
24,385,1
47,385,1
21,386,1
21,386,1
21,386,1
37,386,1
37,386,1
37,386,1
6,387,1
6,387,1
14,387,1
19,387,1
28,387,1
28,387,1
39,387,1
39,387,1
6,388,1
14,388,1
45,389,1
2,390,1
36,391,1
36,391,1
2,392,1
32,392,1
5,393,1
5,393,1
1,394,1
1,394,1
1,394,1
6,394,1
33,394,1
33,394,1
33,394,1
39,394,1
43,394,1
6,395,1
6,395,1
19,396,1
24,396,1
21,397,1
21,397,1
21,397,1
14,398,1
17,399,1
