source,target,we
1033,0,1
256,1,1
1677,2,1
1482,3,1
1486,3,1
1490,3,1
1173,4,1
1365,5,1
985,6,1
1229,7,1
188,8,1
928,9,1
111,10,1
1572,11,1
421,12,1
431,12,1
689,12,1
907,12,1
1591,12,1
1175,13,1
16,14,1
897,14,1
1005,15,1
1013,15,1
1016,15,1
1171,16,1
63,17,1
67,17,1
334,17,1
152,18,1
770,19,1
775,19,1
1092,19,1
1117,19,1
979,20,1
980,20,1
1214,21,1
6,22,1
162,23,1
690,23,1
815,23,1
820,23,1
980,23,1
166,24,1
170,24,1
742,24,1
1255,24,1
1687,25,1
207,26,1
209,26,1
1185,26,1
875,27,1
1027,28,1
613,29,1
626,29,1
1609,29,1
95,30,1
110,30,1
376,30,1
85,31,1
86,31,1
107,31,1
109,32,1
292,33,1
1259,33,1
1305,33,1
1496,34,1
1497,34,1
717,35,1
158,36,1
512,36,1
519,36,1
79,37,1
377,37,1
208,38,1
50,39,1
1450,39,1
76,40,1
1329,41,1
679,42,1
1257,42,1
1472,42,1
604,43,1
605,43,1
1456,43,1
634,44,1
1647,45,1
1686,46,1
327,47,1
329,47,1
1569,47,1
1642,48,1
1643,48,1
1646,48,1
1256,49,1
1443,49,1
1455,49,1
1467,49,1
1459,50,1
614,51,1
618,51,1
1407,52,1
1155,53,1
1242,53,1
863,54,1
1592,55,1
1504,56,1
274,57,1
1354,57,1
259,58,1
269,58,1
603,58,1
621,58,1
629,58,1
590,59,1
1055,60,1
1058,60,1
1174,61,1
1189,62,1
1639,62,1
1308,63,1
1676,63,1
151,64,1
1627,65,1
578,66,1
496,67,1
119,68,1
82,69,1
84,69,1
10,70,1
1484,71,1
1485,71,1
1486,71,1
848,72,1
1681,73,1
866,74,1
1328,74,1
1331,74,1
550,75,1
819,75,1
1160,75,1
1161,75,1
687,76,1
193,77,1
341,77,1
1417,78,1
913,79,1
586,80,1
1248,80,1
1423,80,1
504,81,1
670,81,1
295,82,1
1147,83,1
912,84,1
1555,84,1
130,85,1
149,85,1
914,85,1
993,85,1
1717,86,1
218,87,1
104,88,1
883,88,1
1190,88,1
1197,88,1
1637,88,1
1106,89,1
321,90,1
669,90,1
1596,90,1
1541,91,1
1670,91,1
7,92,1
8,92,1
1054,92,1
931,93,1
1110,93,1
1243,93,1
1246,93,1
1432,93,1
750,94,1
1222,94,1
492,95,1
1500,95,1
937,96,1
277,97,1
534,97,1
548,97,1
557,97,1
580,97,1
1330,97,1
1112,98,1
1143,99,1
1145,99,1
530,100,1
533,100,1
542,100,1
581,101,1
930,101,1
1392,102,1
926,103,1
1395,103,1
944,104,1
1104,104,1
1172,104,1
1275,105,1
890,106,1
900,106,1
1581,106,1
261,107,1
633,107,1
734,108,1
696,109,1
1586,109,1
501,110,1
756,110,1
508,111,1
173,112,1
503,112,1
782,113,1
1626,113,1
800,114,1
620,115,1
729,115,1
735,115,1
739,115,1
1098,115,1
1690,116,1
675,117,1
683,118,1
684,118,1
686,118,1
842,119,1
844,119,1
850,119,1
1410,120,1
362,121,1
363,121,1
668,122,1
1205,123,1
999,124,1
1119,124,1
375,125,1
749,125,1
1523,125,1
1525,126,1
242,127,1
245,127,1
269,127,1
615,127,1
1043,127,1
1044,127,1
1045,127,1
1122,127,1
1138,127,1
1144,127,1
1148,127,2
1157,127,1
1451,127,1
1502,127,1
1513,127,1
44,128,1
61,128,1
1292,129,1
136,130,1
225,130,1
1366,130,1
1391,130,1
1394,130,1
1527,130,1
1529,130,1
1556,130,1
700,131,1
201,132,1
1220,132,1
1221,132,1
1420,133,1
1718,134,1
738,135,1
1463,135,1
588,136,1
1679,136,1
494,137,1
289,138,1
1413,138,1
1477,138,1
641,139,1
1159,140,1
102,141,1
774,142,1
775,142,1
1117,142,1
1118,142,1
671,143,1
1697,143,1
1350,144,1
589,145,1
665,146,1
64,147,1
1719,147,1
632,148,1
293,149,1
299,149,1
1218,149,1
1543,149,1
1682,149,1
1691,149,1
1706,149,1
1141,150,1
1150,150,1
244,151,1
245,151,1
270,151,1
601,151,1
785,152,1
340,153,1
1203,153,1
56,154,1
253,155,1
396,156,1
54,157,1
46,158,1
704,159,1
688,160,1
465,161,1
466,161,1
477,161,1
994,162,1
648,163,1
651,163,1
809,164,1
815,164,1
839,164,1
181,165,1
762,166,1
765,166,1
1515,166,1
1412,167,1
1105,168,1
1277,169,1
1433,169,1
18,170,1
25,170,1
48,170,1
135,170,1
721,170,1
1357,170,1
43,171,1
701,172,1
1481,172,1
1700,173,1
18,174,1
19,174,1
721,174,1
78,175,1
230,175,1
232,175,1
712,175,1
990,175,1
1390,175,1
1401,175,1
1483,175,1
1485,175,1
1490,175,1
1507,175,1
204,176,1
1538,176,1
705,177,1
754,178,1
1629,178,1
1489,179,1
1383,180,1
1384,180,1
322,181,1
324,181,1
787,182,1
1120,182,1
103,183,1
617,183,1
1447,183,1
108,184,1
29,185,1
82,186,1
83,186,1
86,186,1
110,186,1
165,186,1
966,186,1
1077,186,1
1303,186,1
1368,186,1
1370,186,1
1381,186,1
1386,186,1
1398,186,1
1401,186,1
1520,186,1
1684,186,1
70,187,1
114,187,1
1461,188,1
1617,188,1
247,189,1
361,190,1
336,191,1
1471,192,1
1232,193,1
264,194,1
647,195,1
655,195,1
291,196,1
810,196,1
1005,196,1
1012,196,1
1022,196,1
290,197,1
566,197,1
568,197,1
1322,197,1
584,198,1
1645,198,1
1646,198,1
1524,199,1
783,200,1
1669,200,1
1152,201,1
1488,201,1
1667,202,1
1593,203,1
47,204,1
320,205,1
858,205,1
941,206,1
1351,206,1
1468,207,1
867,208,1
1067,208,1
1411,209,1
302,210,1
1613,211,1
1614,211,1
1616,211,1
53,212,1
639,212,1
1491,213,1
1493,213,1
265,214,1
718,214,1
758,214,1
792,214,1
1108,214,1
1137,214,1
1342,214,1
1188,215,1
113,216,1
1101,217,1
953,218,1
90,219,1
147,220,1
1282,221,1
1286,221,1
1349,221,1
923,222,1
1313,223,1
992,224,1
576,225,1
1177,225,1
497,226,1
1559,227,1
196,228,1
252,228,1
1526,228,1
120,229,1
1321,229,1
798,230,1
325,231,1
329,231,1
1167,231,1
105,232,1
332,233,1
1270,233,1
1571,234,1
1269,235,1
1252,236,1
299,237,1
300,237,1
194,238,1
153,239,1
187,239,1
1475,239,1
1404,240,1
257,241,1
1267,242,1
1276,242,1
283,243,1
1602,243,1
1607,243,1
1610,243,1
1613,243,1
316,244,1
363,244,1
364,244,1
369,244,1
843,244,1
844,244,1
34,245,1
856,245,1
443,246,1
444,246,1
455,246,1
398,247,1
400,247,1
714,248,1
1431,248,1
1405,249,1
1469,250,1
1514,250,1
1573,250,1
1720,250,1
1234,251,1
210,252,1
144,253,1
1435,253,1
984,254,1
347,255,1
411,255,1
418,255,1
422,255,1
405,256,1
412,256,1
427,256,1
1476,256,1
1430,257,1
1236,258,1
3,259,1
94,259,1
160,259,1
1711,259,1
1109,260,1
1335,261,1
1336,261,1
950,262,1
569,263,1
998,264,1
1181,264,1
1628,265,1
1320,266,1
93,267,1
230,267,1
241,267,1
246,267,1
666,267,1
1487,267,1
1491,267,1
1507,267,1
1640,267,1
1263,268,1
1403,268,1
906,269,1
1291,269,1
902,270,1
1228,271,1
1537,272,1
854,273,1
1400,274,1
451,275,1
453,275,1
458,275,1
1715,276,1
983,277,1
1536,277,1
