videoname,text(summary),gist(chapter),youtube_id,chapter,category,cluster_label
2 What is data? Different types of data? Structured Semi-structured Unstructured data,Unstructured data is the most useful kind of data these days. Semi structured data is a combination of both structured and unstructured information. It is similar to XML files or the World Wide Web. The video was all for this video. I hope that was helpful.,Structured vs unstructured data.,cYlzIeXAAtI,unstructured data useful kind data days semi structured data combination structured unstructured information similar xml files world wide web video video hope helpful,structured vs unstructured data,7
3 Essential Excel skills for the data analyst,"Power Query is a powerful tool that allows you to transform data in Excel. It's been around for seven years and saves a lot of time. It can connect Excel files to Excel workbooks and SharePoint files. The unpivot function is a useful tool for flipping data around. In Power Bi, you can create a Pivot table, a data model and a data query. Power Query can connect to external Excel files and consolidate folders of data. Pivot tables are great for slicing and dicing your data. Data model is capable of holding multiple millions of rows. Power Pivot is a data model for Excel. It's capable of holding masses of data and doing all sorts of cool analysis. Power Query can help you if your source data is not in nice structured columns and needs headings removed, data split apart, joined together, etc. Pivot tables are refreshable at a couple of clicks.",Power query hidden away.,I1XeDS-GLbg,power query powerful tool allows transform data excel around seven years saves lot time connect excel files excel workbooks sharepoint files unpivot function useful tool flipping data around power bi create pivot table data model data query power query connect external excel files consolidate folders data pivot tables great slicing dicing data data model capable holding multiple millions rows power pivot data model excel capable holding masses data sorts cool analysis power query help source data nice structured columns needs headings removed data split apart joined together etc pivot tables refreshable couple clicks,power query hidden away,7
3 Essential Excel skills for the data analyst,Some Excel users don't know some of the key Excel concepts that are essential to being a good data analyst. They got introduced to Excel in Excel 2007. They are one of the best things to happen to Excel. The formulas spill down tables automatically. The structured data is key to doing good analysis.,Tables power query & pivot.,I1XeDS-GLbg,excel users know key excel concepts essential good data analyst got introduced excel excel one best things happen excel formulas spill tables automatically structured data key good analysis,tables power query pivot,7
4 10 - Knowledge Graph Embeddings,"The last section of the machine learning section of this lecture is on knowledge graph embeddings. It's similar to the word embedding for knowledge graphs where nodes with a similar meaning are mapped to close vectors in a vector space. This is the same principle as you already know from word vectors, where you know a word by the company it keeps.",Extending word embeddings to knowledge graphs.,XNvKyuggvGE,last section machine learning section lecture knowledge graph embeddings similar word embedding knowledge graphs nodes similar meaning mapped close vectors vector space principle already know word vectors know word company keeps,extending word embeddings knowledge graphs,29
4 10 - Knowledge Graph Embeddings,"In a knowledge graph embeddings, a triple gets a high score if there are high chances for the triple to be true. Negative triples are created artificially by replacing parts of the triples with other things. The downstream task with which you evaluate your model is called Knowledge Graph Completion. There are several tasks in Link prediction that we are going to talk about.",Knowledge graph embeddings generally work.,XNvKyuggvGE,knowledge graph embeddings triple gets high score high chances triple true negative triples created artificially replacing parts triples things downstream task evaluate model called knowledge graph completion several tasks link prediction going talk,knowledge graph embeddings generally work,14
A Complete Overview of Word Embeddings,"Before we wrap up, I want to show you how to import pretrained word embeddings from the gentlemen library. They have fasttech glove and word to Veg. They are pre trained word embedding that are trained on different types of data. The next video.",Importing pre - trained word embeddings.,I1XeDS-GLbg,wrap want show import pretrained word embeddings gentlemen library fasttech glove word veg pre trained word embedding trained different types data next video,importing pre trained word embeddings,29
A Complete Overview of Word Embeddings,"In this video we learn what word embeddings are, how they are created and how you can start using them. Text is not good for machine learning models, so they have to represent text in a numbers format. In NLP models, text is not a good representation.",Why we need text embeddings.,I1XeDS-GLbg,video learn word embeddings created start using text good machine learning models represent text numbers format nlp models text good representation,need text embeddings,29
A Complete Overview of Word Embeddings,"In text representation. One hot encoding is one long vector. Count based representation techniques include bag of Words, Ingram and TFIDF. They are helpful in the NLP area for years, but they have some serious shortcomings. They do not take context into account, and they are not efficient use of space.",Text representation counts.,I1XeDS-GLbg,text representation one hot encoding one long vector count based representation techniques include bag words ingram tfidf helpful nlp area years serious shortcomings take context account efficient use space,text representation counts,29
A Complete Overview of Word Embeddings,Word embeddings are learned from big corpora that is basically just a lot of text. They represent the words in a dense vector while making sure that similar words are close to each other in the embedding space. They follow a similar logic to the one used in the transformer architecture. Fast Text is an extension on the word Tobec algorithm. It uses subwords to separate words into subwords and train the model on top of these subwords. It works really well with rare words or words that were not seen in the training data. It does well with morphologically rich languages like German or Turkish.,Making word embeddings.,I1XeDS-GLbg,word embeddings learned big corpora basically lot text represent words dense vector making sure similar words close embedding space follow similar logic one used transformer architecture fast text extension word tobec algorithm uses subwords separate words subwords train model top subwords works really well rare words words seen training data well morphologically rich languages like german turkish,making word embeddings,29
A Complete Overview of Word Embeddings,"Elmo is one of the latest innovations in the area of word embeddings. It takes the context of the sentences into account when creating the embedding. Elmo's first layer deals with characters instead of whole words, so it's good at dealing with misspelled words or typos.",The art of word embeddings.,I1XeDS-GLbg,elmo one latest innovations area word embeddings takes context sentences account creating embedding elmo first layer deals characters instead whole words good dealing misspelled words typos,art word embeddings,29
