source,target,we
1334,0,1
1471,1,1
1513,2,1
1756,2,1
1299,3,1
573,4,1
523,5,1
1340,5,1
1559,6,1
506,7,1
739,7,1
749,7,1
927,7,1
564,8,1
46,9,1
438,9,1
1443,10,1
1451,10,1
1454,10,1
213,11,1
379,11,1
380,11,1
2,12,1
7,12,1
1257,13,1
882,14,1
898,14,1
113,15,1
517,16,1
538,16,1
658,16,1
1544,17,1
1757,17,1
1784,18,1
406,19,1
420,19,1
1272,19,1
871,20,1
1465,21,1
634,22,1
1337,22,1
1348,22,1
91,23,1
100,23,1
253,23,1
283,24,1
284,24,1
151,25,1
154,25,1
285,25,1
287,25,1
49,26,1
83,26,1
84,26,1
114,26,1
708,26,1
119,27,1
1225,28,1
1067,29,1
1210,29,1
954,30,1
482,31,1
489,31,1
1423,32,1
391,33,1
408,34,1
368,35,1
625,35,1
1303,35,1
387,36,1
471,36,1
1834,36,1
358,37,1
574,37,1
327,38,1
1714,39,1
606,40,1
1321,40,1
1322,40,1
643,41,1
1352,41,1
1142,42,1
1515,42,1
710,43,1
205,44,1
208,44,1
1657,45,1
1658,45,1
1383,46,1
1385,46,1
1387,46,1
1486,46,1
1487,46,1
1503,46,1
1688,47,1
238,48,1
1715,48,1
473,49,1
595,50,1
1582,51,1
355,52,1
1341,52,1
590,53,1
197,54,1
488,54,1
1572,54,1
587,55,1
1792,56,1
338,57,1
702,57,1
604,58,1
614,58,1
1328,58,1
1698,58,1
1705,58,1
1376,59,1
63,60,1
294,60,1
773,61,1
774,61,1
668,62,1
1289,62,1
1783,62,1
1661,63,1
1219,64,1
1779,64,1
1827,64,1
59,65,1
515,66,1
1370,66,1
502,67,1
786,67,1
74,68,1
107,68,1
310,68,1
80,69,1
81,69,1
1247,70,1
666,71,1
857,72,1
1154,73,1
322,74,1
324,74,1
867,74,1
170,75,1
171,75,1
897,75,1
1628,75,1
925,76,1
224,77,1
968,78,1
434,79,1
22,80,1
591,80,1
493,81,1
1108,81,1
959,82,1
1745,82,1
1752,83,1
1055,84,1
186,85,1
435,86,1
1439,86,1
449,87,1
1533,87,1
1540,87,1
1548,87,1
279,88,1
422,89,1
1755,89,1
97,90,1
307,90,1
769,90,1
1160,90,1
1185,90,1
1787,90,1
1744,91,1
259,92,1
1106,92,1
1140,92,1
1508,92,1
1743,92,1
1398,93,1
1795,93,1
1244,94,1
1246,94,1
805,95,1
651,96,1
1492,97,1
1789,98,1
235,99,1
330,99,1
1290,99,1
1516,99,1
1612,99,1
1626,99,1
1635,99,1
1693,100,1
182,101,1
184,101,1
1608,102,1
1611,102,1
1620,102,1
1664,103,1
862,104,1
544,105,1
546,106,1
966,106,1
328,107,1
835,107,1
1707,107,1
1351,108,1
610,109,1
933,110,1
1596,110,1
233,111,1
35,112,1
1350,112,1
1838,112,1
994,113,1
1672,114,1
1684,114,1
1333,115,1
1436,115,1
921,116,1
922,116,1
924,116,1
1679,116,1
987,117,1
1113,117,1
840,118,1
843,118,1
849,118,1
961,119,1
240,120,1
241,120,1
1236,121,1
1746,122,1
1536,123,1
252,124,1
1401,124,1
1410,125,1
1790,125,1
162,126,1
173,126,1
600,126,1
602,126,1
614,126,1
761,126,1
762,126,1
775,126,1
1050,126,1
1057,126,1
1070,126,1
1241,126,1
1242,126,1
1245,126,1
1335,126,1
361,127,1
378,127,1
1428,127,1
1208,128,1
120,129,1
126,129,1
446,129,1
528,129,1
542,129,1
547,129,1
1408,129,1
1409,129,1
937,130,1
589,131,1
36,132,1
150,133,1
1697,134,1
498,135,1
997,135,1
1367,135,1
486,136,1
141,137,1
1051,137,1
1713,138,1
1356,139,1
718,140,1
96,141,1
290,141,1
1147,141,1
1298,141,1
6,142,1
7,142,1
571,143,1
1109,143,1
334,144,1
455,145,1
989,145,1
1375,145,1
77,146,1
1102,146,1
371,147,1
1354,148,1
301,149,1
436,149,1
1060,149,1
1077,149,1
1402,149,1
1430,149,1
1431,149,1
1509,149,1
1823,149,1
179,150,1
187,150,1
601,151,1
602,151,1
615,151,1
26,152,1
1812,152,1
297,153,1
223,154,1
1524,154,1
372,155,1
1221,156,1
764,157,1
575,158,1
370,159,1
363,160,1
148,161,1
393,161,1
941,161,1
926,162,1
1125,162,1
519,163,1
1023,163,1
1024,163,1
1035,163,1
1494,163,1
1086,164,1
1088,164,1
895,165,1
898,165,1
913,165,1
1770,166,1
0,167,1
4,167,1
13,168,1
1277,168,1
1736,169,1
341,170,1
461,170,1
562,170,1
958,170,1
560,171,1
938,172,1
1480,173,1
1484,173,1
958,174,1
145,175,1
390,175,1
418,175,1
527,175,1
530,175,1
554,175,1
559,175,1
692,175,1
949,175,1
1151,176,1
1254,176,1
1406,176,1
1552,176,1
942,177,1
219,178,1
556,179,1
397,180,1
399,180,1
396,181,1
200,182,1
202,182,1
1274,183,1
37,184,1
57,185,1
1326,185,1
99,186,1
1754,186,1
626,187,1
1776,187,1
797,188,1
80,189,1
82,189,1
84,189,1
100,189,1
115,189,1
151,189,1
280,189,1
282,189,1
284,189,1
287,189,1
288,189,1
299,189,1
305,189,1
314,189,1
525,189,1
526,189,1
550,189,1
555,189,1
559,189,1
680,189,1
688,189,1
696,189,1
697,189,1
703,189,1
704,189,1
707,189,1
715,189,1
780,189,1
798,189,1
